ENDSVILLE400_0001	ながしぎりがかんぜんにはいれば、でばふのこうかがふよされる。
ENDSVILLE400_0065	でゅくりゅえわ、がっきならてゅーばとおーぼえがおきにいりだとか。
ENDSVILLE400_0066	おなじしっぱいをこりずにくりかえす、ぐぃーでぃえのあどばいすわむだだろ？
ENDSVILLE400_0067	う゛ぉでぃつぇのきしべで、おだやかななみをばっくにぴゅーぴゅーとふえをならす。
ENDSVILLE400_0068	ふーでぇのじぎょうわ、あかじとくろじがごちゃまぜだとひしょがなげく。
ENDSVILLE400_0069	さるみゃーえわ、えぐぜくてぃぶやらぐじゅありーなどのきーわーどにめざとい。
ENDSVILLE400_0070	くぉーりーわふぃぎゅあすけーとのほーぷで、とりぷるあくせるがみせばだ。
ENDSVILLE400_0071	おれわあらるてょべにしゅぎょうえむかうが、じょうぇるわおいてゆく。
ENDSVILLE400_0072	はいえんでいきぐるしいので、じゅぎょうわやすませていただきます。
ENDSVILLE400_0073	すぃみょーんが、くぉーてぃあーでごんぎょうする。
ENDSVILLE400_0074	ぺりぇしゃつのらじおばんぐみで、れぎゅらーにせんしゅつされました。
ENDSVILLE400_0075	ぴにぇーだわ、てゅーひゃーすふぇるとからぴゅっとらはえひっこした。
ENDSVILLE400_0076	あよーでゃーわ、がっしょうでもみのこなしがきびきびしてた。
ENDSVILLE400_0077	おのまとぺでわ、ちゅーちゅーわねずみで、ぴよぴよわひよこです。
ENDSVILLE400_0078	くぃえとぅすさくのぴにゃこらーだわ、じつにじみにとむあじわいだった。
ENDSVILLE400_0079	ばびゃこう゛ぁーわ、はつびょうしたほりょをてあつくほごした。
ENDSVILLE400_0080	ふゅじっとがせあかごけぐもにかまれ、はつねつしねこむ。
ENDSVILLE400_0081	ちょこれーとふぉんでゅわめずらしいので、ひときわおおきなひとだかりができますよ？
ENDSVILLE400_0082	ちゃーむくぉーくわ、さみゅえるらがつきとめたそりゅうしである。
ENDSVILLE400_0083	びょぐでょるわ、うぃきぺでぃあでひっかかるたんごだが、よくわからぬ。
ENDSVILLE400_0084	さくもつえのひがいわ、げりらごううもだけど、つゆじきわ、むしろいんうにくりょする。
ENDSVILLE400_0085	めっつぉあんぐぇがくぅーとすりより、ぷらむでゃがくちをほころばせた。
ENDSVILLE400_0086	あるふぁべっとのきゅーやえっくすわ、とくべつにあつかわれるきがする。
ENDSVILLE400_0087	しんえきぶそくでめがぼやけてきた。
ENDSVILLE400_0088	ぴょじゅがねごしえーたーとなり、むさべつてろのりーだーえせっとくをこころみる。
ENDSVILLE400_0089	いぇぬーふぁのうぉっしゃぶるすーつわやすもので、すぐけばだちぼろぼろになるだろう。
ENDSVILLE400_0090	ふゅーじょんがかかったこじゃれたかふぇで、びゅっふぇをたのしむ。
ENDSVILLE400_0091	ひゅばーとのひとがらわ、しゅくてきのじょぜふぃーぬもみとめる。
ENDSVILLE400_0092	やすっぽいぬののときんだが、よなべでてづくりしたははのまごころがありがたい。
ENDSVILLE400_0093	てゅぺろわけびょうでぬけだし、あつあつのすぺっつぁてぃーのをそぼにとどけた。
ENDSVILLE400_0094	つぇてぃにぇをおとずれるなら、あつでのこーでゅろいじゃけっとをきるべきだ。
ENDSVILLE400_0095	びぇろう゛つぃなでりゃくだつがおきぬよう、きゅーざっくわぶっしのすとっくにちゅういする。
ENDSVILLE400_0096	しょかのじろう゛につぁでゆきがふるとわ、ゆゆしきことだ。
ENDSVILLE400_0097	う゛ぇねつぃあーのがねぼけて、うっかりひみつをしゃべった。
ENDSVILLE400_0098	おまえさん、べるでゃえふのあっぱーがあごにひっとしたら、にどとおきあがれんよ。
ENDSVILLE400_0099	んごずぃわ、かすれごえでへらずぐちをたたく。
ENDSVILLE400_0100	たるくぃーにわ、じゅくでしゅう゛ぁるつしるとはんけいをまなぶ。
ENDSVILLE400_0101	ずぎぇしがしゅっせし、しょぞくぶしょがかわったが、じっしつてきなさせんらしい。
ENDSVILLE400_0102	ぴゃつぁわじびょうがあっかしきとくとなり、みゃくもよわよわしくなってきた。
ENDSVILLE400_0103	ことりがすからぴょこぴょことかおをだし、えさをねだる。
ENDSVILLE400_0104	のう゛ぉでぇう゛ぃっつぁむらに、さんびゃくめーとるわあるおしゃれなはしがかかった。
ENDSVILLE400_0105	まあ、ぐぇんふぉーがふんがいするのもむりわない。
ENDSVILLE400_0106	う゛ぃにょーらとぐぉりーのたっぐわ、むてきすぎるだろ。
ENDSVILLE400_0107	ぴゃにーがのいざかやで、う゛ぉらぴゅくとげらげらわらう。
ENDSVILLE400_0108	ぐぃーどって、じゃぱにーずだけじゃなく、ちぇまうぇびごまでぺらぺらだって？
ENDSVILLE400_0109	ぐっくぁさん、ぱいくぅみぇんをつよびでこがしちゃだめだぞ？
ENDSVILLE400_0110	でっぱりにつまずいてころび、ばにらしぇいくをぺるしゃかーぺっとにぶちまけどろどろだ。
ENDSVILLE400_0111	こじぇどぅーぶわ、ぱーふぇくとなじつりょくしゃで、ぎゃくにむかつく。
ENDSVILLE400_0112	ねんちゃくてーぷでぐるぐるまきにして、にもつをおくる。
ENDSVILLE400_0113	あくしょんげーむわにがてだが、こんてぃにゅーがあればくりあできる。
ENDSVILLE400_0114	ぐぃでぃっちおーにわ、ひごろぽしぇっとにおやつをきーぷしています。
ENDSVILLE400_0115	さてゃぱるわ、たぴおかにんきのかげりをみぬき、べつのてんぽにくらがえした。
ENDSVILLE400_0116	はでなみずぎのぎゃろっぷわ、ぷらいべーとぷーるでゆらゆらゆれる。
ENDSVILLE400_0117	さきほどのきしゅで、う゛らにぇしゅとてぃてゅばのさがちぢまった。
ENDSVILLE400_0118	どくとくのむらがでるすみぞめのきじに、びゅーふぃるすのわざがひかる。
ENDSVILLE400_0119	ぶんてゃびーわ、あつりょくなべやふーどぷろせっさーでのれぱーとりーがはばひろい。
ENDSVILLE400_0120	りょうぼのないでょーのふが、しょてごのごでかんきゃくのどぎもをぬいた。
ENDSVILLE400_0121	れとろなかくげーで、はるてゅにゃんとうぉきぇとくう゛なが、ごぶのたたかいをくりひろげる。
ENDSVILLE400_0122	ぷろいぇしゅてぃのばーで、ぶらっでぃめありーをりくえすとした。
ENDSVILLE400_0123	ちぇるくぇってぃのげきてきなぎゃくてんしょうりに、しゅくはいをあげましょ。
ENDSVILLE400_0124	う゛ぉーかるわぐぁぬで、ぴあのばんそうわちぇるくぉっつぃです。
ENDSVILLE400_0125	ひぇてぃるとぴう゛ぁりっちのあいでぃあわ、そっちょくにごじっぽひゃっぽです。
ENDSVILLE400_0126	どぅぶらう゛かがこぶしをにぎり、う゛ぇつぉぷときみがよをあつくうたった。
ENDSVILLE400_0127	どぅむなぐぅあるわじんぞうがわるく、あぼかどやかぼちゃをよくたべる。
ENDSVILLE400_0128	さらりーすえおきで、とぅーどぅーがぷらすじゃ、わりにあわぬ。
ENDSVILLE400_0129	なるほど、うぃっでゃーのゆめわ、すででびゃっこをほふりさることなのか？
ENDSVILLE400_0130	りゅむきぇう゛ぃちがとろふぃーをてに、がっつぽーずです。
ENDSVILLE400_0131	てょみゅるたむでやけどした、きずぐちのがーぜをはがした。
ENDSVILLE400_0132	たちばがよわいゆえに、かんびゃーぞわういめにあうのです。
ENDSVILLE400_0133	びゅーてぃーぱーらーで、せみうぇっとなかみがたにせっとだね。
ENDSVILLE400_0134	う゛ぉでゃのーう゛ぁがひっしでねまわしし、りじをまるめこめた。
ENDSVILLE400_0135	ねえねえ、ぱすとらみびーふがぱさぱさして、のどがかわくよ。
ENDSVILLE400_0136	いぇすぱーわぴゅあだから、さぎしがだますなどかんがえのそとだよ。
ENDSVILLE400_0137	てょーてょーとこえがひびくが、あるじのほーるらっひゃーじゃなく、おそらくやちょうだ。
ENDSVILLE400_0138	ゆざましむけに、みねらるうぉーたーをびちくする。
ENDSVILLE400_0139	ほお、ぼたんえびやおひょうが、しゃりとぜつみょうにまっちしたすしだ。
ENDSVILLE400_0140	おっと、どぅぐぉんわびしょっぷのききに、よみぬけがあったぞ。
ENDSVILLE400_0141	くぇるちゃわ、めでゅーさがせきかさせるとおそれ、ぎゅっとひとみをとじた。
ENDSVILLE400_0142	りう゛ぁーでぃわみずたまりにとびこみ、ふくをびしょびしょによごした。
ENDSVILLE400_0143	いまわう゛ぉくりゅーずでぷろでゅーさーやってるよ。
ENDSVILLE400_0144	ろでぃげしぃのしゃじつがを、ごーじゃすながくぶちにいれてかざる。
ENDSVILLE400_0145	う゛ぉこーだーのこうしがきになるなら、くぃうぉんぱをたずねろ。
ENDSVILLE400_0146	ひゅっれむわぎょくざにつけたが、ぷれっしゃーにたえかねふれしぃえにゆずった。
ENDSVILLE400_0147	るみゃんつぇう゛ぉのざっきょびるに、あまのじゃくのびゃうぇくがおふぃすをもつ。
ENDSVILLE400_0148	ばにゅるすでわ、ばっふぁろーがしゅやくのおとぎばなしがなだかいです。
ENDSVILLE400_0149	てゃでぃじわ、うえたこどもにすぱげってぃをおごった。
ENDSVILLE400_0150	いんすぺくたーで、ぷろぱてぃーをぱぶりっくにしてもへいきです。
ENDSVILLE400_0151	ふむ、ぐぉーふぇいもいっしょだし、せんぞのはかにもうでるか。
ENDSVILLE400_0152	ひゅーすとんのひろばで、みゃーみゃーとしろねこがあまえてきた。
ENDSVILLE400_0153	まくどなるどなら、だぶちよりふぃれおふぃっしゅかな。
ENDSVILLE400_0154	ごくぶとすぴーかーけーぶるをすたーかっどせつぞくでちゅーにんぐし、じゃずがつややかだ。
ENDSVILLE400_0155	もしくわ、みゅふぃでといぇぎしぇのぺあならかちめがあるかも。
ENDSVILLE400_0156	でょーちゃんわげりでちこくだから、う゛らとぅこさんとでぃずにーにいこ？
ENDSVILLE400_0157	どしゃぶりでゆかがびちゃびちゃになった。
ENDSVILLE400_0158	う゛ぇねつぃあであそぶなら、やっぱりどるそどぅろでしょ。
ENDSVILLE400_0159	みぇーとにぇるをひゅーひゅーとひやかすのわ、おやめなさい。
ENDSVILLE400_0160	それこそかちゅびぇーいにうってつけのぎょうむじゃありませんか、ぎゅすたーう゛？
ENDSVILLE400_0161	これわぱずるでどろぬまにはまり、ぽろぽろなくでゅう゛ぇるじぇのず。
ENDSVILLE400_0162	ぽろしゃつわべーじゅろーぜのぺいずりー、かみもぼでぃぱーまでぼりゅーみーと、だいぶあかぬけたね。
ENDSVILLE400_0163	えーと、ぴぇんうぃらいのりゃくれきに、みょうなてんがあるのだけど。
ENDSVILLE400_0164	むざむざちゃんすをつぶしたびぇりーいぇふわ、あとあとつめられた。
ENDSVILLE400_0165	めんぼくない、きゃくあしがにぶっても、ごさだとあなどってた。
ENDSVILLE400_0166	がばがばなかわぐつではしれば、そりゃあずっこけるなあ。
ENDSVILLE400_0167	ふゅれわしゅびりょくをきたえ、つぁうにゃわこうげきりょくにとっかし、ぱらめーたをわりふる。
ENDSVILLE400_0168	う゛ぁすぃーりょう゛ぃちゅわ、せぱたくろーのみょうしゅだった。
ENDSVILLE400_0169	ずぶずぶとしっちをゆく、へっふぇるふぃんがーのもくてきちわぴぞーにぇ。
ENDSVILLE400_0170	なぞのう゛ぇーるにつつまれたぎゃんぐのぼすがすがたをあらわし、したっぱがひれふした。
ENDSVILLE400_0171	さぴぇじなくん、ひゃくのくらいでししゃごにゅうしたまえ。
ENDSVILLE400_0172	せんれつほへいのとぅとぅしゅが、ふゅーずぃりえのしょうごうをえる。
ENDSVILLE400_0173	うぇいすぃーがこうさつされ、ざんぎゃくでゆるしがたいといぞくがいかりにふるえた。
ENDSVILLE400_0174	ぬりえがとくいなあーくぇっとわ、きっとりっぱなまんがかになるだろう。
ENDSVILLE400_0175	どーう゛ぇるにゅわ、じんじゅつにたけたけつぶつだ。
ENDSVILLE400_0176	う゛ぇすぃえーるのみりょくわ、にこやかなえみとしるばーのかみかざりです。
ENDSVILLE400_0177	でう゛ぉぐぃらさま、ほんじつのでぃなーでございます。
ENDSVILLE400_0178	ちょれぎさらだわ、ごまあぶらのかおりできゅうりがひきたつ。
ENDSVILLE400_0179	うぃきくぉーとやうぃくしょなりーに、おもしろいことわざがあった。
ENDSVILLE400_0180	うぃうぃしっとがききをさっちして、うぉろどぅーぐーのう゛ぃらにひなんした。
ENDSVILLE400_0181	ひとざとにひそむひとくいぐまのくじょなら、もっとあたまかずをふやすべきだろ。
ENDSVILLE400_0182	くぇじゅわめじゃーれーべるのみゅーじしゃんで、でぃすこぐらふぃーもはなばなしい。
ENDSVILLE400_0183	べすとぅーじぇふわ、ぷろふぇっさーきゅーぶでよーろっぱきろくをこえた。
ENDSVILLE400_0184	ぶれーじつぇにきょじゅうするりぇとぅう゛ぉすわ、ぽじてぃぶなともだちです。
ENDSVILLE400_0185	やっぱくぁっどこあでのぱられるしょりわ、すりーでぃーぐらふぃっくすもばくそくだねえ。
ENDSVILLE400_0186	いざなぎじんぐうわ、あわじしにあるぞ。
ENDSVILLE400_0187	つぇるくう゛ぇにゃくのぱのらまを、せぴあのふぃるむにやきつける。
ENDSVILLE400_0188	ふぃらでるふぃあでふぁすとふーどなら、やはりどむどむばーがーか。
ENDSVILLE400_0189	ふゅーちゃーべーすわ、だんすみゅーじっくにいちづけられる。
ENDSVILLE400_0190	う゛ぃたにぇのだいきぼこみゅにてぃに、くぃりちがかにゅうした。
ENDSVILLE400_0191	ふぁてぃまわ、とこやでみでぃあむへあをぼぶにととのえ、けさきをぽぴーれっどにそめた。
ENDSVILLE400_0192	あぐにゅーわすずめばちにさされ、あなふぃらきしーしょっくでたおれた。
ENDSVILLE400_0193	ほほにくわやわらかく、にこむとぜっぴんのしたざわりですね。
ENDSVILLE400_0194	びゃうぃすとくわあこがれのばしょで、にゅーよーくのつぎにりょこうしたいね。
ENDSVILLE400_0195	ぶつぶつぐちってるが、たぶーわおかすべからずだよ、みすたーぷろびぇじゅ。
ENDSVILLE400_0196	ぴゃおがひとはだぬぎ、ぷろでょーぬはたあげをささえた。
ENDSVILLE400_0197	がいあしゅぺへらーのめろでぃーわ、どこかのすたるじーだ。
ENDSVILLE400_0198	せぶんとぅうぇんてぃ、ふりっぷうぃっぷからすりーしっくすてぃえつなぐ。
ENDSVILLE400_0199	ずう゛ぇーう゛ぉわ、うぉしゅれっとわひつじゅひんだと、ふぉりにゃーののでぱーとをかいちくした。
ENDSVILLE400_0200	びぇにゃくどの、てきのせんりょくわ、ろっぴゃくからはっぴゃくです。
ENDSVILLE400_0201	てょばにがてゃーてゃーなくふしぎなとりをはっけんし、がっかいではっぴょうした。
ENDSVILLE400_0202	えーみゃぴゅーがひゃくどるひろい、りちぎにもちぬしをさがした。
ENDSVILLE400_0203	ぷらずまがかかわるぷろじぇくとなら、えう゛ぎぇーにいさえくわわればなー。
ENDSVILLE400_0204	ぱすくぁりーのに、ぺすかとーれのぴっつぁとうぃすきーをわたしてきて。
ENDSVILLE400_0205	あるひ、くぅいりーぬすわ、なにげなくがくしゃえのみちをこころざした。
ENDSVILLE400_0206	たしかあうぃつぉとるわ、あぐぇぱねらがこうぶつだったっけ。
ENDSVILLE400_0207	びゅーまーわ、みっぺいがたへっどせっとで、びでおちゃっとにぼつにゅうする。
ENDSVILLE400_0208	べるとがまもうしちぎれたら、ぎゅりっぽすにかえてもらって。
ENDSVILLE400_0209	しはすにらぼでぎゅうにゅうをくばり、ついでにぐぁてまらのこーひーまめで、かぷちーのもつくってみた。
ENDSVILLE400_0210	きゃぱおーばーですけじゅーるがはたんぎみなので、へるぷをたのむ。
ENDSVILLE400_0211	しぇみぇのう゛ぃちが、にゅーうぇいう゛にはまったってまじで？
ENDSVILLE400_0212	いや、ぽるふゅりおすわぜったいにちゃくしゅつしですって。
ENDSVILLE400_0213	もろにいしだりゅうくずしのすじで、きょうしゃのいってまでながれるな。
ENDSVILLE400_0214	だりゅーげのみがってなぷろぽーざるに、あきれはてました。
ENDSVILLE400_0215	つぇるくう゛ぇにゃくえのしさつのとちゅうで、しぇんといぇるにぇいによる。
ENDSVILLE400_0216	はじめまして、きょうじゅのまっせきをけがす、らどぅろう゛ぃちです。
ENDSVILLE400_0217	ちいさいぱぱらちあさふぁいあだが、らぴすらずりなみにたかいぜ。
ENDSVILLE400_0218	さあ、うぃるひょーのやしきにしゅっぱつだ。
ENDSVILLE400_0219	ぷつぉんつぃで、しゅあいじゃおをきわめるぞ。
ENDSVILLE400_0220	ぶれぞう゛ぃつぁであくじをはかると、そくざにほばくされるぜ？
ENDSVILLE400_0221	ぎらぎらとしたひざしのなか、ちぐぅわすくぉみっしごをはなす。
ENDSVILLE400_0222	すぃとじぇふてぃわ、びびたるみすでじゅしょうをのがし、くやしなみだがほおをつたう。
ENDSVILLE400_0223	ふぇでぇりこが、ぎゃらあっぷをでぃれくたーにかけあったが、きゃっかされた。
ENDSVILLE400_0224	うぃどうぃどとわ、はなはだとおいまちからひさびさのきゃくだぜ。
ENDSVILLE400_0225	う゛ぉるぴゃーののでぃなーわ、ちっぷこみでごひゃくゆーろでした。
ENDSVILLE400_0226	しだれやなぎをめじるしに、まっすぐすすめ。
ENDSVILLE400_0227	みょうがだにからめとろにのりつぎで、おぎくぼまでちょっこうですね。
ENDSVILLE400_0228	じとーみぇしゅが、まにゅあるにしたがって、ふぉーくりふとでつちをはこぶ。
ENDSVILLE400_0229	からでょうぇが、かぎょのふくしつとならぬよう、でぇみーどう゛ぁがじんりょくする。
ENDSVILLE400_0230	どぅぶおーにゅわりょひをみあやまり、じばらでかばーする。
ENDSVILLE400_0231	まゆのうちがわにむしがいるとしり、しゅてひゃーわぞっとした。
ENDSVILLE400_0232	ぷろごるふぁーのねまつぁでぇわ、へぼおやじでもひゃくのすこあをきれるとごうごする。
ENDSVILLE400_0233	みょうちょうからもみじがりにきょうじ、ごごわじしつでかとりぇーてぃでも。
ENDSVILLE400_0234	わざわざくぇーどにねざけをあげるとわ。
ENDSVILLE400_0235	とにゃっつぃもあらふぉーとなり、はつげんのとげとげしさがへり、まるくなったな。
ENDSVILLE400_0236	んぜおぐぅがぐびぐびとびーるをいっきし、ぶらぼーとはくしゅがわいた。
ENDSVILLE400_0237	わたくしごとできょうしゅくですが、しばしおひまをちょうだいしたくぞんじます。
ENDSVILLE400_0238	みぇじぇらいてぃすひとりでらいう゛やっても、きゃくわかくじつにうまりますよ。
ENDSVILLE400_0239	あっすぃーずぃで、う゛ぁーちゃるりありてぃのあぷりがりりーすされた。
ENDSVILLE400_0240	まめでゃろふわ、しゃきょうでめんたるをにゅーとらるにもどせる。
ENDSVILLE400_0241	きぇーざをたぶらかしたきゃろるわ、まじょのたぐいだぜ。
ENDSVILLE400_0242	あれくるうあらしで、さんばしにぴたりとふねをつけるのわ、わたしでもふかのうだよ。
ENDSVILLE400_0243	ぼーなすをはいすぺっくこんぴゅーたーにつぎこみ、すでにふところがさびしい。
ENDSVILLE400_0244	くれないのぶたわ、ぐぁっつぉーにがもっともえいきょうされたじぶりえいがです。
ENDSVILLE400_0245	ちらう゛ぇーにゃのう゛ぉーかるでゅおがのしあがり、めでぃあろしゅつでひっぱりだこだ。
ENDSVILLE400_0246	くぃざんぬが、へそまがりのう゛ぇっつぇらをじょしゅせきに、はまべえどらいぶだと。
ENDSVILLE400_0247	おーぎゅすてぃーぬがえらんだじゅんぱくのどれすに、ぷらちなてぃあらがはえる。
ENDSVILLE400_0248	ぴすたちおじぇらーとが、べでぃっつぉーれでぶーむです。
ENDSVILLE400_0249	あだむという゛で、てぃつぃあーの、う゛ぇちぇっりおのかいがをおもいだす。
ENDSVILLE400_0250	ゆりのぱふゅーむをたずさえて、べねとぅってぃのこきゃくとみーてぃんぐだ。
ENDSVILLE400_0251	ぴぇとりゃこーふわぎりがたいから、ぴんちになればたすけにくるさ。
ENDSVILLE400_0252	そびぇすかわ、すとっぷうぉっちをいっぷんぴったりでとめられる。
ENDSVILLE400_0253	ぱうだーすのーわすきーもすのぼもべたつかず、ごくじょうのゆきしつだ。
ENDSVILLE400_0254	げつようびわ、えすててぃしゃんのゆーりぇう゛なが、せじゅつがかりだ。
ENDSVILLE400_0255	う゛ぃくとりーぬわ、こきんわかしゅうのげいじゅつせいにほれこむ。
ENDSVILLE400_0256	ぐぃなむのぽじしょんわくぉーたーばっくで、まれにでぃふぇんしぶえんどもやる。
ENDSVILLE400_0257	しょくばでみだらなとぴっくわせくはらだぜ、せでーにょ。
ENDSVILLE400_0258	てぐらしぃーわ、ぬぷつぇのいただきをめざすとちかった。
ENDSVILLE400_0259	でぃすぽーざーがあれば、なまごみをきがるにしょぶんできます。
ENDSVILLE400_0260	ぶかがねがえり、いぇぐのう゛つぇからよにげとわかなしいね。
ENDSVILLE400_0261	らずぃーやのつぶやきに、むっつのきょぎがある。
ENDSVILLE400_0262	ほら、こざーくぃわまだまだくちべたで、ぷれぜんなどむちゃだってば。
ENDSVILLE400_0263	くれすてゃんわ、のぶれすおぶりーじゅがきぞくのぎむだとすぴーちした。
ENDSVILLE400_0264	かんこくではっしょうしたけーぽっぷが、びるぼーどちゃーとでしゅいになった。
ENDSVILLE400_0265	とぅーひぇんばっはなら、ここからぷろぺらきのちゃーたーがやすあがりだね。
ENDSVILLE400_0266	こえだめわえどじだいにりようされたが、げんだいでわすでにすたれたせつびだ。
ENDSVILLE400_0267	みゅんひぇべるくわ、ぴぇぷしゅをたっぷりかけたぽーらんどりょうりがすきだ。
